Station Code,Station Name,State,Forecast_Months,Mean_WQI,Min_WQI,Mean_DO,Min_DO,Mean_pH,Min_pH,Max_pH,Mean_BOD,Max_BOD,BOD_Exceed_Months,DO_Violation_Months,pH_Violation_Months,Any_CPCB_Violation_Months,BOD_Exceed_Percent,DO_Violation_Percent,pH_Violation_Percent,CPCB_Violation_Percent,Hotspot_Level
5715,"B/C GOMTI RIVER AT
BALUA GHAT BRIDGE, VARANASI",Uttar Pradesh,24,84.67,80.0,7.97,6.97,8.01,7.82,8.14,3.58,3.84,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1052,ULUBERIA,West Bengal,24,88.75,86.0,7.35,7.12,7.56,7.39,7.71,2.03,2.41,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1470,GARDEN REACH,West Bengal,24,89.0,86.0,7.56,7.18,7.48,7.19,7.7,2.07,2.42,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1471,SHIVPUR (HOWRAH),West Bengal,24,89.25,86.0,7.44,7.18,7.5,7.27,7.69,1.96,2.33,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1469,DIAMOND HARBOUR,West Bengal,24,90.0,86.0,7.24,6.97,7.62,7.46,7.77,1.88,2.27,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1059,RAJMAHAL,Jharkhand,24,92.0,92.0,7.23,7.12,7.47,7.42,7.5,1.44,1.45,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1074,"BUXAR, CHAUSA KARMNASA ",Bihar,24,92.0,92.0,7.36,7.26,7.56,7.44,7.84,1.66,1.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1077,"KURJI AT DIGHA GHAT, U/S PATNA",Bihar,24,92.0,92.0,7.27,7.25,7.51,7.43,7.58,1.58,1.69,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1079,PATNA D/S (GANGA BRIDGE),Bihar,24,92.0,92.0,7.31,7.27,7.5,7.41,7.6,1.59,1.82,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1335,PATIKALI ,West Bengal,24,92.0,92.0,7.41,7.25,7.72,7.5,8.09,1.76,1.88,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1815,MOKAMA D/S ,Bihar,24,92.0,92.0,7.34,7.26,7.51,7.42,7.58,1.57,1.68,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1817,U/S MOKAMA,Bihar,24,92.0,92.0,7.33,7.26,7.5,7.42,7.58,1.56,1.67,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1818,MUNGER D/S,Bihar,24,92.0,92.0,7.34,7.24,7.49,7.42,7.57,1.49,1.58,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2551,"BUXAR, RAMREKHAGHAT",Bihar,24,92.0,92.0,7.32,7.26,7.54,7.44,7.74,1.63,1.79,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2552,NIT GHANDHI GHAT ( PATNA),Bihar,24,92.0,92.0,7.37,7.31,7.43,7.31,7.54,1.51,1.68,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2553,"FATUHA, A/c OF RIVER PUNPUN",Bihar,24,92.0,92.0,7.31,7.28,7.45,7.36,7.53,1.51,1.77,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2554,SULTANGANJ (BHAGALPUR),Bihar,24,92.0,92.0,7.33,7.26,7.51,7.42,7.59,1.56,1.69,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2564,"BALUGHAT, DORIGANJ, SARAN",Bihar,24,92.0,92.0,7.27,7.24,7.51,7.43,7.58,1.56,1.7,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3113,BUXAR D/S,Bihar,24,92.0,92.0,7.31,7.25,7.55,7.44,7.76,1.62,1.78,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3114,"DANAPUR, NEAR PIPAPUL",Bihar,24,92.0,92.0,7.34,7.27,7.52,7.42,7.62,1.62,1.76,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3116,U/S MUNGER,Bihar,24,92.0,92.0,7.37,7.27,7.5,7.41,7.58,1.57,1.69,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3118,D/S BHAGALPUR,Bihar,24,92.0,92.0,7.35,7.28,7.44,7.36,7.51,1.48,1.54,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3122,MALSALAMI (PATNA),Bihar,24,92.0,92.0,7.24,7.2,7.47,7.41,7.53,1.5,1.66,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3123,BARAHIA,Bihar,24,92.0,92.0,7.34,7.28,7.53,7.42,7.61,1.63,1.77,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
4297," BIDUPUR ROAD BRIDGE, PATNA",Bihar,24,92.0,92.0,7.28,7.25,7.53,7.43,7.63,1.61,1.74,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
4398,"WATER INTAKE POINT, BHAGALPUR",Bihar,24,92.0,92.0,7.34,7.25,7.5,7.42,7.57,1.54,1.63,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10113,"U/S JAIL GHAT, BUXAR ",Bihar,24,92.0,92.0,7.28,7.23,7.53,7.44,7.74,1.59,1.71,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10114,DORIGANJ D/S (SARAN),Bihar,24,92.0,92.0,7.24,7.2,7.48,7.42,7.52,1.47,1.52,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10115,GULBI GHAT (PATNA),Bihar,24,92.0,92.0,7.31,7.26,7.51,7.42,7.58,1.59,1.7,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10122,"TRIVENI GHAT, B/c OF RIVER PUNPUN",Bihar,24,92.0,92.0,7.29,7.26,7.51,7.42,7.59,1.6,1.72,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10130, U/S OF M/S NTPC BARH,Bihar,24,92.0,92.0,7.38,7.3,7.52,7.42,7.63,1.63,1.79,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10131," D/S OF M/S NTPC BINDTOLA, BARH",Bihar,24,92.0,92.0,7.32,7.25,7.52,7.43,7.67,1.58,1.68,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10138,CHAMPANAGAR,Bihar,24,92.0,92.0,7.38,7.26,7.49,7.4,7.57,1.58,1.92,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10144,U/S NEAR LCT GHAT,Jharkhand,24,92.0,92.0,7.21,6.87,7.51,7.44,7.58,1.49,1.59,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10145,NEAR JANTA GHAT D/S,Jharkhand,24,92.0,92.0,7.22,6.97,7.48,7.42,7.53,1.45,1.49,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10146,SANGI DALAN,Jharkhand,24,92.0,92.0,7.21,6.96,7.49,7.43,7.56,1.46,1.52,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10162,"U/s DORIGANJ, CHAPRA",Bihar,24,92.0,92.0,7.34,7.27,7.52,7.43,7.61,1.6,1.77,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1816,KAHALGAON,Bihar,24,92.33,92.0,7.42,7.27,7.54,7.43,7.63,1.61,1.75,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1819,BHAGALPUR,Bihar,24,92.33,92.0,7.37,7.25,7.5,7.41,7.57,1.52,1.61,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3115,"BARH, NEAR UMANATH TEMPLE ",Bihar,24,92.33,92.0,7.46,7.32,7.55,7.42,7.7,1.67,1.87,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
4301,BAKHYIYARPUR TAJPUR BRIDGE  PATNA,Bihar,24,92.33,92.0,7.41,7.28,7.53,7.43,7.66,1.59,1.75,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10143, KAHALGAON D/S,Bihar,24,92.33,92.0,7.44,7.28,7.55,7.43,7.68,1.65,1.78,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
3117,U/S SULTANGANJ,Bihar,24,92.67,92.0,7.53,7.3,7.52,7.41,7.62,1.6,1.74,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5712,"MATA GANGA BRIDGE ,
 FATEHPUR",Uttar Pradesh,24,92.67,86.0,8.28,7.96,8.05,7.95,8.24,2.5,2.72,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10151,FARRUKHABAD,Uttar Pradesh,24,93.5,88.0,8.72,8.36,8.2,8.14,8.36,2.9,3.04,2,0,0,2,8.33,0.0,0.0,8.33,Low / No Hotspot
10152,A/C GOMTI RIVER (BHUSAULA),Uttar Pradesh,24,93.5,88.0,8.76,8.31,8.2,8.12,8.28,2.93,3.06,2,0,0,2,8.33,0.0,0.0,8.33,Low / No Hotspot
1053,DAKSHINESHWAR,West Bengal,24,93.75,86.0,7.85,7.57,7.3,7.11,7.52,1.61,2.14,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1046,PRAYAGRAJ (RASOOLABAD),Uttar Pradesh,24,94.0,94.0,8.72,8.37,8.21,8.15,8.3,2.77,2.86,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1049,PRAYAGRAJ D/S (SANGAM),Uttar Pradesh,24,94.0,94.0,8.8,8.3,8.22,8.14,8.33,2.72,2.84,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1061,HARIDWAR D/S,Uttarakhand,24,94.0,94.0,8.53,8.08,8.15,7.99,8.24,2.75,2.87,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1070,U/S VARANASI  (VISHWA SUNDARI BRIDGE),Uttar Pradesh,24,94.0,94.0,8.75,8.29,8.21,8.13,8.31,2.58,2.81,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1147,DALMAU (RAI BAREILLY),Uttar Pradesh,24,94.0,94.0,8.58,8.18,8.16,8.07,8.24,2.73,2.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2485,"U/S, VINDHYACHAL (MIRZAPUR)",Uttar Pradesh,24,94.0,94.0,8.78,8.3,8.22,8.13,8.32,2.63,2.81,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2487,KADAGHAT (KAUSHAMBI),Uttar Pradesh,24,94.0,94.0,8.72,8.36,8.21,8.15,8.3,2.75,2.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2498,KALA KANKAR (PRATAPGARH),Uttar Pradesh,24,94.0,94.0,8.6,8.19,8.17,8.1,8.24,2.73,2.86,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5711," A/C PANDU RIVER, DEOMAI",Uttar Pradesh,24,94.0,94.0,8.73,8.34,8.21,8.14,8.3,2.8,2.87,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5713,"DHEEMI, PRATAPGARH",Uttar Pradesh,24,94.0,94.0,8.56,8.15,8.16,8.08,8.25,2.68,2.84,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5714," B/C TAMSA RIVER AT PRACHIN SHIVALAYA DUMDUMA
GHAT",Uttar Pradesh,24,94.0,94.0,8.72,8.35,8.21,8.14,8.31,2.75,2.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5716,"U/S GHAZIPUR, ZAMANIA",Uttar Pradesh,24,94.0,94.0,8.75,8.34,8.21,8.14,8.29,2.85,2.92,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5778,"BISHANPUR KUNDI, HARIDWAR",Uttarakhand,24,94.0,94.0,8.52,8.08,8.13,7.99,8.24,2.75,2.86,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10148,HARKI PAURI GHAT,Uttarakhand,24,94.0,94.0,8.42,8.03,8.09,7.95,8.24,2.57,2.77,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10158,A/C TAMAS RIVER (SIRSA),Uttar Pradesh,24,94.0,94.0,8.7,8.36,8.21,8.15,8.29,2.74,2.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5708," TIGRI GANGA GHAT, AMROHA",Uttar Pradesh,24,97.33,92.0,8.18,7.34,7.82,7.61,7.96,1.57,1.79,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5162,"FARAKKA,
MUSHIDABAD",West Bengal,24,99.33,92.0,8.36,7.89,7.2,7.1,7.57,1.46,1.7,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1080,BEHARAMPORE,West Bengal,24,99.67,92.0,8.38,7.93,7.18,7.1,7.54,1.44,1.51,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2506,"TRIBENI, NEAR BURNING GHAT",West Bengal,24,99.67,92.0,8.59,7.93,7.13,7.1,7.22,1.48,1.65,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1054,PALTA,West Bengal,24,100.0,100.0,8.71,8.26,7.11,7.08,7.23,1.49,1.81,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1060,U/S RISHIKESH ,Uttarakhand,24,100.0,100.0,9.58,9.36,7.84,7.8,7.88,1.12,1.27,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1062,"BRIJGHAT D/S, GHARMUKTESHWAR ",Uttar Pradesh,24,100.0,100.0,10.11,9.97,7.69,7.43,7.78,1.05,1.45,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1145,NARORA (BULANDSAHAR),Uttar Pradesh,24,100.0,100.0,8.72,8.67,7.12,7.1,7.15,1.5,1.53,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1472,SERAMPORE,West Bengal,24,100.0,100.0,8.73,8.2,7.12,7.1,7.2,1.5,1.9,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2488,U/S ANOOPSHAHAR,Uttar Pradesh,24,100.0,100.0,8.49,8.38,7.13,7.09,7.2,1.46,1.52,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2489,ANOOPSHAHAR D/S,Uttar Pradesh,24,100.0,100.0,8.64,8.56,7.11,7.1,7.16,1.5,1.53,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2490,KACHHLA GHAT (ALIGARH),Uttar Pradesh,24,100.0,100.0,9.76,9.48,7.79,7.74,7.82,1.01,1.13,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2511,"NABADIP,GHOSHPARA NEAR MONIPURGHAT",West Bengal,24,100.0,100.0,8.79,8.52,7.11,7.09,7.15,1.5,1.85,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
2725,"A/C SONG, D/S RAIWALA",Uttarakhand,24,100.0,100.0,9.7,9.43,7.81,7.79,7.88,1.03,1.15,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5707," NANDAUR NEAR HASTINAPUR
",Uttar Pradesh,24,100.0,100.0,8.74,8.68,7.13,7.1,7.22,1.5,1.53,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5776,"SWARG ASHRAM ,RISHIKESH",Uttarakhand,24,100.0,100.0,9.68,9.52,7.83,7.79,7.87,1.08,1.19,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
5777,"VISTHAPHIT COLONY, RISHIKESH",Uttarakhand,24,100.0,100.0,9.96,9.94,7.79,7.78,7.8,0.96,0.99,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10147, RISHIKESH D/S,Uttarakhand,24,100.0,100.0,9.96,9.94,7.79,7.78,7.81,0.96,0.98,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10149,"U/S BRIJGHAT, GARHMUKTESHWAR",Uttar Pradesh,24,100.0,100.0,10.13,9.97,7.71,7.44,7.78,1.01,1.31,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10150,MADHYA GANGA BARRAGE (BIJNOR),Uttar Pradesh,24,100.0,100.0,9.64,9.37,7.81,7.79,7.83,1.03,1.15,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10159,"KHAGRA, BEHARAMPORE",West Bengal,24,100.0,100.0,8.76,8.55,7.11,7.1,7.23,1.5,1.68,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10160,"GORABAZAR, BEHRAMPORE",West Bengal,24,100.0,100.0,8.67,8.4,7.13,7.1,7.35,1.48,1.58,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
10161,"SHITALATALA, PALTA",West Bengal,24,100.0,100.0,8.6,8.23,7.13,7.09,7.26,1.47,1.53,0,0,0,0,0.0,0.0,0.0,0.0,Low / No Hotspot
1063,U/S KANNAUJ (RAJGHAT),Uttar Pradesh,24,85.33,80.0,8.17,7.11,8.06,7.88,8.35,3.47,3.73,24,0,0,24,100.0,0.0,0.0,100.0,Moderate Hotspot
5717,"BALLIA D/S AT BEYASI
BALLIA BRIDGE",Uttar Pradesh,24,88.5,88.0,8.72,8.29,8.18,8.1,8.26,3.04,3.18,22,0,0,22,91.67,0.0,0.0,91.67,Moderate Hotspot
2727, ROORKEE D/S,Uttarakhand,24,89.25,88.0,8.42,8.13,8.09,8.01,8.16,3.02,3.1,19,0,0,19,79.17,0.0,0.0,79.17,Moderate Hotspot
